query,target,predicted,score,correct
CHF,Congestive Heart Failure,HCT,0.53448254,False
high blood pressure,Hypertension,blood pressure,0.8694,False
short of breath,Shortness of Breath,shortness of breath,0.87429726,True
dyspnea,Dyspnea,Dyspnea,0.9999999,True
breathless,Shortness of Breath,Lung,0.51499957,False
Hypertensive,Hypertension,Hypertension,0.8100378,True
Lisinopril,Lisinopril,Lisinopril,1.0,True
HCTZ,Hydrochlorothiazide,HCT,0.6809733,False
Statin,Statin,Statin,0.9999999,True
Lipitor,Lipitor,Lipitor,1.0000001,True
Atorvastatin,Atorvastatin,Atorvastatin,1.0000002,True
ASA,Aspirin,Angap,0.39184928,False
aspirin,Aspirin,aspirin,1.0,True
stroke,Stroke,Stroke,0.9999999,True
AIS,Acute Ischemic Stroke,Automatism,0.44910085,False
TIA,Transient Ischemic Attack,Tat,0.6045522,False
Afib,Atrial Fibrillation,rapid afib,0.706837,False
a fib,Atrial Fibrillation,Fcer1a,0.39928642,False
CAD,Coronary Artery Disease,Darc,0.4076331,False
CABG,Coronary Artery Bypass Graft,Darc,0.42078072,False
AVR,Aortic Valve Replacement,AVM,0.77227217,False
AS,Aortic Stenosis,Ascites,0.54311687,False
MR,Mitral Valve,MR image,0.6634838,False
LVH,left ventricular hypertrophy,MCH,0.38905522,False
EF,left ventricle,TGF,0.53185767,False
metop succinate,Metoprolol Succinate,Metoprolol Succinate,0.9126513,True
Metoprolol tartrate,Metoprolol Tartrate,Metoprolol Tartrate,1.0000001,True
NT-proBNP,NT-proBNP,NT-proBNP,1.0000004,True
BNP,NT-proBNP,Right Flank,0.3442352,False
heart failure,Heart failure,Heart Failure,1.0,True
CHF,Congestive Heart Failure,HCT,0.53448254,False
pulmonary edema,Pulmonary edema,Pulmonary Edema,1.0000001,True
pleural effusions,Pleural Effusion,Pleural effusions,1.0,False
Lasix,Furosemide,plavix,0.5020776,False
PE,Acute Pulmonary Embolism,Acute PE,0.6803815,False
Type 2 DM,Diabetes Mellitus Type II,Diabetes Mellitus Type II,0.4403778,True
DM2,Diabetes Mellitus Type II,Cd2,0.5144287,False
T1DM,Type 1 Diabetes Mellitus,TGFBR2,0.4870594,False
DM,Diabetes Mellitus,AVM,0.4341551,False
High blood sugar,High Blood Sugar,High Blood Sugar,0.9999998,True
blood glucose,Blood Glucose,Blood Glucose,0.9999999,True
metformin,Metformin,Metformin,1.0,True
Insulin,Insulin,Insulin,1.0000004,True
Prediabetes,Prediabetes,Prediabetes,1.0000002,True
IGT,Impaired glucose tolerance,IgE level,0.57573944,False
IFG,Impaired fasting glucose,IgE level,0.51097447,False
A1c,Elevated A1c,Elevated A1c,0.6068004,True
Hypothyroidism,Hypothyroidism,Hypothyroidism,1.0000002,True
Synthroid,Levothyroxine sodium,Levothyroxine sodium,0.53979707,True
CKD,Chronic Kidney Disease,CKD stage III,0.5758528,False
ESRD,end-stage renal disease,ERCP,0.5658145,False
HD,Dialysis,HDR,0.7004623,False
Hemodialysis,hemodialysis unit,Dialysis,0.807887,False
AKI,Acute Kidney Injury,Hafnia alvei,0.40939137,False
Creat,Creat,Creat,1.0000001,True
creatinine,Abnormal Creatinine,Serum Creatinine,0.824371,False
Cystatin C,Cystatin C,Cystatin C,1.0000004,True
renal insufficiency,Chronic Renal Insufficiency,renal insufficiency,1.0000005,False
UTI,Urinary Tract Infection,Urinary Tract Infection,0.79491246,True
Pyelo,Pyelonephritis,Klebsiella,0.46491405,False
cipro,Ciprofloxacin,Ciprofloxacin,0.57659006,True
Hematuria,Hematuria,Hematuria,1.0,True
Foley,Foley Catheter,Foley Catheter,0.5624035,True
retention,Urinary Retention,Urinary Retention,0.48706046,True
Flomax,Tamsulosin,mucinex,0.56791294,False
BPH,Benign Prostatic Hypertrophy,MCH,0.55043226,False
TURP,Transurethral Resection,Urean,0.44386014,False
prostate cancer,Prostate Cancer,Prostate Cancer,0.9999999,True
Bladder mass,Bladder Mass,Bladder Mass,1.0,True
stent,Nephroureteral Stent,Nephroureteral Stent,0.6875483,True
obstruction,Urinary Tract Obstruction,Distraction,0.47006947,False
Urethral obstruction,Urethral Obstruction,Urethral Obstruction,1.0,True
Hydronephrosis,moderate hydronephrosis,hydronephrosis,0.9999999,False
cysts,Renal Cysts,cystic lesions,0.78046733,False
PKD,Polycystic Kidney Disease,MDD,0.48273736,False
APKD,adult polycystic kidney disease,MDD,0.33356217,False
horseshoe kidney,horseshoe kidney,horseshoe kidney,1.0,True
renal artery,Renal Artery,Renal Artery,1.0,True
left renal artery,Left Renal Artery,Left Renal Artery,0.99999994,True
Sepsis,Sepsis,sepsis,1.0000002,True
Bacteremia,Bacteremia,Bacteremia,1.0000002,True
Blood cultures,blood culture,blood culture,0.9071528,True
Urine cx,Urine Culture,urine culture,0.55481184,True
Fever,Fever,Fever,1.0,True
Febrile neutropenia,Febrile Neutropenia,Febrile Neutropenia,1.0000001,True
Neutropenia,Neutropenia,Neutropenia,1.0000004,True
CBC,Complete Blood Count (CBC),Complete Blood Count (CBC),0.4680774,True
MCV,MCV,MCV,1.0000004,True
anemia,Anemia,Anemia,1.0000004,True
IDA,Iron Deficiency Anemia,Ipilimumab,0.37417623,False
ACD,Anemia of Chronic Disease,MDD,0.5726885,False
GI bleed,GI Bleed,GI Bleed,1.0000001,True
warfarin,Warfarin,Warfarin,1.0000004,True
Thrombocytopenia,Thrombocytopenia,Thrombocytopenia,1.0000002,True
Vanc,Vancomycin,Vanc/Cefepime,0.7027377,False
IV vanc,IV Vancomycin,Vanc/Cefepime,0.60906816,False
Meropenem,Meropenem,Meropenem,1.0000001,True
Tobra,tobramycin,tobramycin,0.4978212,True
Doxy,Doxycycline,Doxycycline,0.4707979,True
Zithromax,Azithromycin,Zonisamide,0.772691,False
URI,Upper Respiratory Infection,Urean,0.6359338,False
asthma exacerbation,Asthma Exacerbation,Asthma Exacerbation,1.0,True
Albuterol,Albuterol,Albuterol,1.0000001,True
Pred,Prednisone,MDD,0.47788283,False
Decadron,Decadron,Decadron,0.99999994,True
Dex,Dexamethasone,MDD,0.48566642,False
Wheezing,Wheezing,Wheezing,1.0000004,True
wheeze,expiratory wheeze,wheezing,0.48908618,False
Chest tightness,chest tightness,chest tightness,0.9999999,True
cough,Dry Cough,Cough,0.9999999,False
COPD,COPD,COPD,0.99999964,True
Asthma,Asthma/COPD,asthma,0.99999964,False
PNA,Multifocal Pneumonia,Senna,0.44704786,False
Aspiration PNA,Aspiration,Aspiration,0.60483325,True
necrotizing pneumonia,Necrotizing Pneumonia,Necrotizing Pneumonia,1.0000004,True
respiratory distress,Respiratory Distress,Respiratory Distress,0.9999998,True
hypoxemic resp failure,hypoxemic respiratory failure,hypoxemic respiratory failure,0.7824929,True
Chest tube,Chest Tube,chest tube,0.99999994,True
empyema,MRSA Empyema/Abscess,MRSA Empyema/Abscess,0.629536,True
Atelectasis,Atelectasis,Atelectasis,0.99999994,True
Chest CT,Chest CT,Chest CT,1.0,True
CXR,Chest CT,bcr abl1,0.44321823,False
Head CT,Head CT,Head CT,0.99999976,True
CT head,CT head w/o contrast,CT Head,0.99999976,False
CT Head,CT Head,CT Head,0.99999976,True
ICH,intracranial hemorrhage,trapezii,0.38109764,False
IPH,Intraparenchymal Hemorrhage,MCH,0.56020963,False
SDH,Subdural Hematoma,MCH,0.5626524,False
SAH,Subarachnoid Hemorrhage,MCH,0.4335051,False
CNS,Central Nervous System,Central Nervous System,0.5823447,True
BBB,Blood-Brain Barrier,TGFBR2,0.4342235,False
meningioma,meningioma,meningioma,1.0000001,True
calcified meningioma,right frontal calcified meningioma,right frontal calcified meningioma,0.8778949,True
AVM,AVM,AVM,1.0000002,True
seizure disorder,Seizure Disorder,Seizure Disorder,1.0000002,True
CPS,Complex Partial Seizure,Inpatient psychiatric care,0.45163086,False
post-ictal,Post-ictal period,Post-ictal period,0.82950497,True
vEEG,Video EEG,Vivitrol,0.4275242,False
EEG,eeg monitoring,eeg monitoring,0.7202785,True
Keppra,Levetiracetam,Levetiracetam,0.63826764,True
