head,description,tail,description,weight,,,head,description,tail,entity_score,relation_score
Open right colectomy,"The Open right colectomy is performed to remove the Right colonic mass, which is concerning for Colonic adenocarcinoma.",Right colonic mass,"The Open right colectomy is performed to remove the Right colonic mass, which is concerning for Colonic adenocarcinoma.",10,,,Open right colectomy,"The Open right colectomy is performed to remove the Right colonic mass, which is concerning for Colonic adenocarcinoma.",Right colonic mass,2,3
Excision of tumor in sidewall,The Excision of tumor in sidewall is part of the Open right colectomy and directly addresses the Right colonic mass.,Right colonic mass,The Excision of tumor in sidewall is part of the Open right colectomy and directly addresses the Right colonic mass.,9,,,Excision of tumor in sidewall,The Excision of tumor in sidewall is part of the Open right colectomy and directly addresses the Right colonic mass.,Right colonic mass,3,3
Repair of umbilical hernia,"The Repair of umbilical hernia was performed during the same admission as the Open right colectomy, indicating it is a concurrent procedure.",Open right colectomy,"The Repair of umbilical hernia was performed during the same admission as the Open right colectomy, indicating it is a concurrent procedure.",5,,,Repair of umbilical hernia,"The Repair of umbilical hernia was performed during the same admission as the Open right colectomy, indicating it is a concurrent procedure.",Open right colectomy,3,3
Colonic adenocarcinoma,"Colonic adenocarcinoma is identified in the Right colonic mass, which necessitated surgical intervention.",Right colonic mass,"Colonic adenocarcinoma is identified in the Right colonic mass, which necessitated surgical intervention.",8,,,Colonic adenocarcinoma,"Colonic adenocarcinoma is identified in the Right colonic mass, which necessitated surgical intervention.",Right colonic mass,3,3
Patient's colon cancer,The patient's colon cancer is the underlying condition that led to the discovery of the Right colonic mass and subsequent surgery.,Right colonic mass,The patient's colon cancer is the underlying condition that led to the discovery of the Right colonic mass and subsequent surgery.,7,,,Patient¡¯s colon cancer,The patient¡¯s colon cancer is the underlying condition that led to the discovery of the Right colonic mass and subsequent surgery.,Right colonic mass,2,3
Pulmonary edema,"The patient developed pulmonary edema as a complication of respiratory distress, which required intubation and treatment with diuretics.",Respiratory distress,"The patient developed pulmonary edema as a complication of respiratory distress, which required intubation and treatment with diuretics.",9,,,Pulmonary edema,"The patient developed pulmonary edema as a complication of respiratory distress, which required intubation and treatment with diuretics.",Respiratory distress,3,3
Atrial fibrillation with RVR,Atrial fibrillation with RVR is a cardiovascular condition that the patient experienced during her hospital stay.,Cardiovascular condition,Atrial fibrillation with RVR is a cardiovascular condition that the patient experienced during her hospital stay.,6,,,Atrial fibrillation with RVR,Atrial fibrillation with RVR is a cardiovascular condition that the patient experienced during her hospital stay.,Cardiovascular condition,3,3
Metoprolol and diltiazem,"The patient was managed with Metoprolol and Diltiazem for her atrial fibrillation, indicating these medications are part of her cardiovascular treatment plan.",Cardiovascular management,"The patient was managed with Metoprolol and Diltiazem for her atrial fibrillation, indicating these medications are part of her cardiovascular treatment plan.",8,,,Metoprolol and diltiazem,"The patient was managed with Metoprolol and Diltiazem for her atrial fibrillation, indicating these medications are part of her cardiovascular treatment plan.",Cardiovascular management,2,3
Patient,"The patient is experiencing neurocognitive decline, which is a significant concern noted by the family and medical team.",Neurocognitive decline,"The patient is experiencing neurocognitive decline, which is a significant concern noted by the family and medical team.",8,,,Patient,"The patient is experiencing neurocognitive decline, which is a significant concern noted by the family and medical team.",Neurocognitive decline,2,3
Patient,"The patient has a history of Mobitz Type II status following pacemaker placement, indicating an ongoing cardiac condition.",Mobitz Type II status-post pacemaker placement,"The patient has a history of Mobitz Type II status following pacemaker placement, indicating an ongoing cardiac condition.",7,,,Patient,"The patient has a history of Mobitz Type II status following pacemaker placement, indicating an ongoing cardiac condition.",Mobitz Type II status-post pacemaker placement,3,3
