start,end,gt_path,graph_path_found,pred_path,pred_explanation,required_hits,hit_count,hit_nodes,success
Nicotine Gum,Lung Cancer,Nicotine Gum -> Smoking Cessation -> Lung Cancer,True,Nicotine Gum -> Smoking Cessation -> Lung Cancer,Nicotine Gum --[Used-For]--> Smoking Cessation | Smoking Cessation --[Treats]--> Lung Cancer,1,1,Smoking Cessation,True
Aortic Stenosis,Pulmonary edema,Aortic Stenosis -> Heart failure -> Pulmonary edema,False,No Path,,1,0,,False
Alcoholic Hepatitis,Chronic Liver Disease,Alcoholic Hepatitis -> Cirrhosis -> Chronic Liver Disease,True,Alcoholic Hepatitis -> Chronic Liver Disease,Alcoholic Hepatitis --[Part-Of]--> Chronic Liver Disease,1,0,,False
Warfarin,Anemia,Warfarin -> GI Bleed -> Anemia,True,Warfarin -> GI Bleed -> Anemia,Warfarin --[Causes]--> GI Bleed | GI Bleed --[Causes]--> Anemia,1,1,GI Bleed,True
Klebsiella,Hematuria,Klebsiella -> Urinary Tract Infection -> Hematuria,True,Klebsiella -> Urinary Tract Infection -> Hematuria,Klebsiella --[Causes]--> Urinary Tract Infection | Urinary Tract Infection --[Associated-With]--> Hematuria,1,1,Urinary Tract Infection,True
enlarged prostate,Urinary Retention,enlarged prostate -> Urethral Obstruction -> Urinary Retention,False,No Path,,1,0,,False
Atrial Fibrillation,Facial Droop,Atrial Fibrillation -> Stroke -> Facial Droop,False,No Path,,1,0,,False
Smoking,Severe Headache,Smoking -> Stroke -> Severe Headache,False,No Path,,1,0,,False
High Cholesterol,Aspirin,High Cholesterol -> Acute Ischemic Stroke -> Aspirin,False,No Path,,1,0,,False
Atorvastatin,Acute Ischemic Stroke,Atorvastatin -> High Cholesterol -> Acute Ischemic Stroke,True,Atorvastatin -> High Cholesterol -> Acute Ischemic Stroke,Atorvastatin --[Used-For]--> High Cholesterol | High Cholesterol --[Associated-With]--> Acute Ischemic Stroke,1,1,High Cholesterol,True
carotid stenosis,Antithrombotic Therapy,carotid stenosis -> acute ischemic stroke -> Antithrombotic Therapy,False,No Path,,1,0,,False
Intensive Statin Therapy,Acute Ischemic Stroke,Intensive Statin Therapy -> High Cholesterol -> Acute Ischemic Stroke,True,Intensive Statin Therapy -> High Cholesterol -> Acute Ischemic Stroke,Intensive Statin Therapy --[Treats]--> High Cholesterol | High Cholesterol --[Associated-With]--> Acute Ischemic Stroke,1,1,High Cholesterol,True
Metoprolol Succinate,Left Ventricle Dysfunction,Metoprolol Succinate -> Atrial Fibrillation -> Left Ventricle Dysfunction,True,Metoprolol Succinate -> Atrial Fibrillation -> Left Ventricle Dysfunction,Metoprolol Succinate --[Used-For]--> Atrial Fibrillation | Atrial Fibrillation --[Causes]--> Left Ventricle Dysfunction,1,1,Atrial Fibrillation,True
Aortic Valve Replacement,Heart Failure,Aortic Valve Replacement -> Aortic Stenosis -> Heart Failure,True,Aortic Valve Replacement -> Aortic Stenosis -> Heart Failure,Aortic Valve Replacement --[Treats]--> Aortic Stenosis | Aortic Stenosis --[Causes]--> Heart Failure,1,1,Aortic Stenosis,True
Coronary Artery Bypass Grafting,Atrial Fibrillation,Coronary Artery Bypass Grafting -> Coronary Artery Disease -> Atrial Fibrillation,True,Coronary Artery Bypass Grafting -> Coronary Artery Disease -> Atrial Fibrillation,Coronary Artery Bypass Grafting --[Treats]--> Coronary Artery Disease | Coronary Artery Disease --[Associated-With]--> Atrial Fibrillation,1,1,Coronary Artery Disease,True
Lisinopril,Cardiovascular disease,Lisinopril -> Hypertension -> Cardiovascular disease,True,Lisinopril -> Hypertension -> Cardiovascular disease,Lisinopril --[Treats]--> Hypertension | Hypertension --[Causes]--> Cardiovascular disease,1,1,Hypertension,True
Hydrochlorothiazide,Cardiovascular disease,Hydrochlorothiazide -> Hypertension -> Cardiovascular disease,True,Hydrochlorothiazide -> Hypertension -> Cardiovascular disease,Hydrochlorothiazide --[Treats]--> Hypertension | Hypertension --[Causes]--> Cardiovascular disease,1,1,Hypertension,True
African American,Cardiovascular disease,African American -> Hypertension -> Cardiovascular disease,True,African American -> Cardiovascular disease,African American --[Associated-With]--> Cardiovascular disease,1,0,,False
Lipitor,Cardiovascular disease,Lipitor -> Hyperlipidemia -> Cardiovascular disease,True,Lipitor -> Hyperlipidemia -> Cardiovascular disease,Lipitor --[Treats]--> Hyperlipidemia | Hyperlipidemia --[Associated-With]--> Cardiovascular disease,1,1,Hyperlipidemia,True
Metformin,Cardiovascular disease risk,Metformin -> Prediabetes -> Cardiovascular disease risk,True,Metformin -> Prediabetes -> Cardiovascular disease risk,Metformin --[Treats]--> Prediabetes | Prediabetes --[Associated-With]--> Cardiovascular disease risk,1,1,Prediabetes,True
Metformin,Diabetes risk,Metformin -> Prediabetes -> Diabetes risk,True,Metformin -> Prediabetes -> Diabetes risk,Metformin --[Treats]--> Prediabetes | Prediabetes --[Associated-With]--> Diabetes risk,1,1,Prediabetes,True
Intensive lifestyle intervention,Cardiovascular disease risk,Intensive lifestyle intervention -> Prediabetes -> Cardiovascular disease risk,True,Intensive lifestyle intervention -> Prediabetes -> Cardiovascular disease risk,Intensive lifestyle intervention --[Treats]--> Prediabetes | Prediabetes --[Associated-With]--> Cardiovascular disease risk,1,1,Prediabetes,True
Insulin,Gastroparesis,Insulin -> Diabetes Mellitus -> Gastroparesis,False,No Path,,1,0,,False
Levothyroxine sodium,Type 1 Diabetes Mellitus,Levothyroxine sodium -> Hypothyroidism -> Type 1 Diabetes Mellitus,True,Levothyroxine sodium -> Hypothyroidism -> Type 1 Diabetes Mellitus,Levothyroxine sodium --[Used-For]--> Hypothyroidism | Hypothyroidism --[Associated-With]--> Type 1 Diabetes Mellitus,1,1,Hypothyroidism,True
Metastatic Colon Cancer,Metoprolol Succinate,Metastatic Colon Cancer -> Shortness of Breath -> Metoprolol Succinate,False,No Path,,1,0,,False
Metastatic Colon Cancer,Liver,Metastatic Colon Cancer -> Right Lobe of the Liver -> Liver,True,Metastatic Colon Cancer -> Right Lobe of the Liver -> Liver,Metastatic Colon Cancer --[Located-In]--> Right Lobe of the Liver | Right Lobe of the Liver --[Located-In]--> Liver,1,1,Right Lobe of the Liver,True
Asthma Exacerbation,Albuterol,Asthma Exacerbation -> Shortness of Breath -> Albuterol,False,No Path,,1,0,,False
Asthma Exacerbation,Albuterol,Asthma Exacerbation -> Cough -> Albuterol,False,No Path,,1,0,,False
Upper Respiratory Infection,Albuterol,Upper Respiratory Infection -> Asthma Exacerbation -> Albuterol,False,No Path,,1,0,,False
Pantoprazole,Epigastric Pain,Pantoprazole -> Gastritis -> Epigastric Pain,False,No Path,,1,0,,False
Chronic Pancreatitis,Nausea,Chronic Pancreatitis -> Epigastric Pain -> Nausea,True,Chronic Pancreatitis -> Nausea,Chronic Pancreatitis --[Associated-With]--> Nausea,1,0,,False
Alcoholic Hepatitis,Epigastric Pain,Alcoholic Hepatitis -> Pancreatitis -> Epigastric Pain,True,Alcoholic Hepatitis -> Pancreatitis -> Epigastric Pain,Alcoholic Hepatitis --[Associated-With]--> Pancreatitis | Pancreatitis --[Associated-With]--> Epigastric Pain,1,1,Pancreatitis,True
Chronic Pancreatitis,C. diff colitis,Chronic Pancreatitis -> Diarrhea -> C. diff colitis,True,Chronic Pancreatitis -> Diarrhea -> C. diff colitis,Chronic Pancreatitis --[Associated-With]--> Diarrhea | Diarrhea --[Has-Symptom]--> C. diff colitis,1,1,Diarrhea,True
Vancomycin,Diarrhea,Vancomycin -> C. diff colitis -> Diarrhea,True,Vancomycin -> C. diff colitis -> Diarrhea,Vancomycin --[Treats]--> C. diff colitis | C. diff colitis --[Has-Symptom]--> Diarrhea,1,1,C. diff colitis,True
Alcoholic Hepatitis,esophageal varix,Alcoholic Hepatitis -> Cirrhosis -> esophageal varix,False,No Path,,1,0,,False
portal hypertension,lower third of esophagus,portal hypertension -> esophageal varix -> lower third of esophagus,True,portal hypertension -> esophageal varix -> lower third of esophagus,portal hypertension --[Associated-With]--> esophageal varix | esophageal varix --[Located-In]--> lower third of esophagus,1,1,esophageal varix,True
Liver Disease,Lactulose,Liver Disease -> Hepatic Encephalopathy -> Lactulose,False,No Path,,1,0,,False
Liver Dysfunction,Altered Mental Status,Liver Dysfunction -> Hepatic Encephalopathy -> Altered Mental Status,False,No Path,,1,0,,False
Ascites,Altered Mental Status,Ascites -> Hepatic Encephalopathy -> Altered Mental Status,False,No Path,,1,0,,False
Acute Pulmonary Embolism,Tachycardia,Acute Pulmonary Embolism -> Acute PE -> Tachycardia,True,Acute Pulmonary Embolism -> Altered Mental Status -> Acute PE -> Tachycardia,Acute Pulmonary Embolism --[Causes]--> Altered Mental Status | Altered Mental Status --[Associated-With]--> Acute PE | Acute PE --[Causes]--> Tachycardia,1,1,Acute PE,True
Toxic Metabolic Encephalopathy,Visual Hallucinations,Toxic Metabolic Encephalopathy -> Altered Mental Status -> Visual Hallucinations,True,Toxic Metabolic Encephalopathy -> Visual Hallucinations,Toxic Metabolic Encephalopathy --[Causes]--> Visual Hallucinations,1,0,,False
Ciprofloxacin,Flank Pain,Ciprofloxacin -> Pyelonephritis -> Flank Pain,True,Ciprofloxacin -> Pyelonephritis -> Flank Pain,Ciprofloxacin --[Treats]--> Pyelonephritis | Pyelonephritis --[Causes]--> Flank Pain,1,1,Pyelonephritis,True
Hafnia alvei,Flank Pain,Hafnia alvei -> Pyelonephritis -> Flank Pain,True,Hafnia alvei -> Pyelonephritis -> Flank Pain,Hafnia alvei --[Associated-With]--> Pyelonephritis | Pyelonephritis --[Causes]--> Flank Pain,1,1,Pyelonephritis,True
Urine Culture,Hematuria,Urine Culture -> Urinary Tract Infection -> Hematuria,True,Urine Culture -> Urinary Tract Infection -> Hematuria,Urine Culture --[Diagnoses]--> Urinary Tract Infection | Urinary Tract Infection --[Associated-With]--> Hematuria,1,1,Urinary Tract Infection,True
Tamsulosin,Urethral Obstruction,Tamsulosin -> Urinary Retention -> Urethral Obstruction,True,Tamsulosin -> Urinary Retention -> Urethral Obstruction,Tamsulosin --[Treats]--> Urinary Retention | Urinary Retention --[Causes]--> Urethral Obstruction,1,1,Urinary Retention,True
Foley Catheter,Urethral Obstruction,Foley Catheter -> Urinary Retention -> Urethral Obstruction,True,Foley Catheter -> Urinary Retention -> Urethral Obstruction,Foley Catheter --[Treats]--> Urinary Retention | Urinary Retention --[Causes]--> Urethral Obstruction,1,1,Urinary Retention,True
Transurethral Resection,Bladder Outlet Obstruction,Transurethral Resection -> Benign Prostatic Hypertrophy -> Bladder Outlet Obstruction,True,Transurethral Resection -> Bladder Outlet Obstruction,Transurethral Resection --[Used-For]--> Bladder Outlet Obstruction,1,0,,False
obstructing lesion at the left uvj,left kidney,obstructing lesion at the left uvj -> moderate hydronephrosis -> left kidney,True,obstructing lesion at the left uvj -> moderate hydronephrosis -> left kidney,obstructing lesion at the left uvj --[Causes]--> moderate hydronephrosis | moderate hydronephrosis --[Located-In]--> left kidney,1,1,moderate hydronephrosis,True
Renal Cysts,adult polycystic kidney disease,Renal Cysts -> Polycystic Kidney Disease -> adult polycystic kidney disease,False,No Path,,1,0,,False
Aminoglycosides,Cystatin C,Aminoglycosides -> Kidney Injury -> Cystatin C,False,No Path,,1,0,,False
Serum Creatinine,Aminoglycosides,Serum Creatinine -> Kidney Injury -> Aminoglycosides,True,Serum Creatinine -> Kidney Injury -> Aminoglycosides,Serum Creatinine --[Biomarker-Of]--> Kidney Injury | Kidney Injury --[Causes]--> Aminoglycosides,1,1,Kidney Injury,True
Hypotension,Systolic Heart Failure,Hypotension -> Chronic Renal Insufficiency -> Systolic Heart Failure,True,Hypotension -> Chronic Renal Insufficiency -> Systolic Heart Failure,Hypotension --[Associated-With]--> Chronic Renal Insufficiency | Chronic Renal Insufficiency --[Associated-With]--> Systolic Heart Failure,1,1,Chronic Renal Insufficiency,True
Chronic Renal Insufficiency,Pleural Effusion,Chronic Renal Insufficiency -> Pulmonary Edema -> Pleural Effusion,False,No Path,,1,0,,False
Congestive Heart Failure,Lung,Congestive Heart Failure -> Pleural Effusion -> Lung,True,Congestive Heart Failure -> Pleural Effusion -> Lung,Congestive Heart Failure --[Associated-With]--> Pleural Effusion | Pleural Effusion --[Located-In]--> Lung,1,1,Pleural Effusion,True
Chest CT,Lung,Chest CT -> Pleural Effusion -> Lung,True,Chest CT -> Pleural Effusion -> Lung,Chest CT --[Diagnoses]--> Pleural Effusion | Pleural Effusion --[Located-In]--> Lung,1,1,Pleural Effusion,True
Amiodarone Toxicity,Multifocal Pneumonia,Amiodarone Toxicity -> Chest CT -> Multifocal Pneumonia,True,Amiodarone Toxicity -> Chest CT -> Multifocal Pneumonia,Amiodarone Toxicity --[Associated-With]--> Chest CT | Chest CT --[Associated-With]--> Multifocal Pneumonia,1,1,Chest CT,True
metformin toxicity,pt,metformin toxicity -> lactic acidosis -> pt,True,metformin toxicity -> lactic acidosis -> pt,metformin toxicity --[Associated-With]--> lactic acidosis | lactic acidosis --[Associated-With]--> pt,1,1,lactic acidosis,True
Coffee Ground Emesis,Esophageal Stent,Coffee Ground Emesis -> Esophageal Adenocarcinoma -> Esophageal Stent,False,No Path,,1,0,,False
esophageal cancer,esophageal thickening,esophageal cancer -> GE junction -> esophageal thickening,True,esophageal cancer -> GE junction -> esophageal thickening,esophageal cancer --[Located-In]--> GE junction | GE junction --[Located-In]--> esophageal thickening,1,1,GE junction,True
Dysphagia/Odynophagia,Esophageal Adenocarcinoma,Dysphagia/Odynophagia -> Coffee Ground Emesis -> Esophageal Adenocarcinoma,True,Dysphagia/Odynophagia -> Coffee Ground Emesis -> Esophageal Adenocarcinoma,Dysphagia/Odynophagia --[Has-Symptom]--> Coffee Ground Emesis | Coffee Ground Emesis --[Associated-With]--> Esophageal Adenocarcinoma,1,1,Coffee Ground Emesis,True
Hydromorphone,Coffee Ground Emesis,Hydromorphone -> Odynophagia -> Coffee Ground Emesis,False,No Path,,1,0,,False
right frontal lesion,left frontal lesion,right frontal lesion -> vasogenic edema -> left frontal lesion,True,right frontal lesion -> vasogenic edema -> left frontal lesion,right frontal lesion --[Associated-With]--> vasogenic edema | vasogenic edema --[Associated-With]--> left frontal lesion,1,1,vasogenic edema,True
multiple hemorrhagic cerebral metastases,right frontal lesion,multiple hemorrhagic cerebral metastases -> vasogenic edema -> right frontal lesion,True,multiple hemorrhagic cerebral metastases -> vasogenic edema -> right frontal lesion,multiple hemorrhagic cerebral metastases --[Associated-With]--> vasogenic edema | vasogenic edema --[Associated-With]--> right frontal lesion,1,1,vasogenic edema,True
EMT,left parietal,EMT -> metastasis -> left parietal,True,EMT -> metastasis -> left parietal,EMT --[Causes]--> metastasis | metastasis --[Located-In]--> left parietal,1,1,metastasis,True
Tonsillar Carcinoma,Worsening Headache,Tonsillar Carcinoma -> Radiation Necrosis -> Worsening Headache,True,Tonsillar Carcinoma -> Radiation Necrosis -> Worsening Headache,Tonsillar Carcinoma --[Associated-With]--> Radiation Necrosis | Radiation Necrosis --[Associated-With]--> Worsening Headache,1,1,Radiation Necrosis,True
