entity,type,description
Open right colectomy,event,"The Open right colectomy is a major surgical procedure performed to remove a colonic mass, which is concerning for colonic adenocarcinoma."
Excision of tumor in sidewall,event,Excision of the tumor in the sidewall is part of the open right colectomy and involves removing the tumor from the colon wall.
Repair of umbilical hernia,event,The repair of an umbilical hernia is a minor surgical procedure that was performed during the same admission as the open right colectomy.
Right colonic mass,organization,"Right colonic mass refers to the medical condition or lesion found in the patient's colon, which required surgical intervention."
Colonic adenocarcinoma,concept,Colonic adenocarcinoma is a specific type of cancer that was identified during the surgery and pathology report.
Patient,person,"The patient is a person who has experienced a fall, probable concussion, and normal pressure hydrocephalus, with ongoing health issues."
RIB ABNORMALITY,event,"RIB ABNORMALITY refers to the absence of rib pain on history or palpation, making a rib fracture unlikely."
CHRONIC ISSUES,concept,CHRONIC ISSUES refer to ongoing health conditions that may affect the patient's overall status.
TRANSITIONAL ISSUES,event,"TRANSITIONAL ISSUES indicate issues that need follow-up care, such as scheduling appointments with different specialists."
Neurocognitive decline,concept,Neurocognitive decline is a concept describing the patient's observed cognitive deterioration over the past month.
Code: Full - F/u with Plastics in weeks - F/u with Neurosurgery post-discharge,event,"This event involves follow-up appointments with different departments, including plastics and neurosurgery after discharge."
Family's notice of neurocognitive decline,event,"The family has noticed a specific issue, neurocognitive decline, which is a significant concern for the patient."
Depression in an elderly patient with chronic illness,concept,"This concept describes a potential contributing factor to the patient's cognitive issues, possibly related to their overall health status and age."
Preadmission Medication list,event,"The preadmission medication list is accurate and complete, indicating the medications the patient was on before admission."
Discharge Medications: 1. Docusate Sodium 100 mg PO BID 2. Multivitamins 1 TAB PO DAILY,event,"The discharge medications are listed, showing what the patient will continue to take after leaving the hospital."
Discharge Disposition: Extended Care Facility,location,Extended Care Facility is a location where the patient is being discharged to for further care and rehabilitation.
Discharge Diagnosis: Primary: Fall with probable concussion Secondary: Normal pressure hydrocephalus Mobitz Type II status-post pacemaker placement,event,"The discharge diagnosis includes primary and secondary conditions, as well as a specific cardiac condition related to the patient's history."
Mobitz Type II status-post pacemaker placement,event,This event describes the patient's cardiac condition following pacemaker placement surgery.
Discharge Condition: Mental Status: Confused - sometimes. Level of Consciousness: Alert and interactive. Activity Status: Ambulatory - requires assistance or aid or cane),event,"The discharge condition details the patient's mental, cognitive, and physical status upon leaving the hospital."
"Discharge Instructions: Dear Ms. , You were admitted to because you had a fall. It is unclear why you fell. We believe that you suffered a mild concussion since you have no memory before or after the fall. You had head imaging which showed that your ventricles were enlarged. Therefore, you were evaluated by Neurosurgery to check your VP shunt. They found that your VP shunt was working properly. You also had imaging of your shunt which showed that it is working well and that the shunt settings are appropriate; the imaging was unchanged from the last time you had your shunt evaluated. Your pacemaker was also interrogated by Cardiology, and they found that pacemaker was working well. You were also evaluated by physical therapy who felt that you would benefit from discharge to a rehabilitation facility to help you with your walking and build your strength. Please follow-up with your outpatient providers as instructed below. Thank you for allowing us to participate in your care. All best wishes for your recovery.",event,"Discharge Instructions provide detailed information about the patient's condition, treatment, and recommended follow-ups."
BID 3. Aspirin 81 mg PO DAILY,organization,"This is a medical instruction for aspirin dosage, not an organization."
Atorvastatin 80 mg PO QPM,organization,"This is a medical instruction for atorvastatin dosage, not an organization."
BuPROPion XL (Once Daily) 150 mg PO DAILY,organization,"This is a medical instruction for BuPROPion dosage, not an organization."
Escitalopram Oxalate 20 mg PO DAILY,organization,"This is a medical instruction for Escitalopram Oxalate dosage, not an organization."
"Glucerna Shake (nut.tx.gluc.intol,lac-free,soy) 1 shake oral TID Duration: 1 Week RX *nut.tx.gluc.intol,lac-free,soy [Glucerna] 237 ml by mouth three times a day Refills:*2",organization,"This is a medical instruction for Glucerna Shake dosage, not an organization."
Insulin Pump SC (Self Administering Medication) Insulin Aspart (Novolog) (non-formulary),organization,"This describes the use of an insulin pump and insulin aspart, not an organization."
