query,target,pred,correct
CHF,Congestive Heart Failure,Congestive Heart Failure,True
high blood pressure,Hypertension,Hypertension,True
short of breath,Shortness of Breath,Dyspnea,False
dyspnea,Dyspnea,Shortness of breath,False
breathless,Shortness of Breath,Dyspnea,False
Hypertensive,Hypertension,Essential Hypertension,True
Lisinopril,Lisinopril,Lisinopril,True
HCTZ,Hydrochlorothiazide,Hydrochlorothiazide,True
Statin,Statin,HMG-CoA reductase inhibitors,False
Lipitor,Lipitor,Atorvastatin,False
Atorvastatin,Atorvastatin,Lipitor,False
ASA,Aspirin,Acetylsalicylic Acid,False
aspirin,Aspirin,Acetylsalicylic acid,False
stroke,Stroke,Cerebrovascular accident (CVA),False
AIS,Acute Ischemic Stroke,Abdominal Injury Scale,False
TIA,Transient Ischemic Attack,Transient Ischemic Attack,True
Afib,Atrial Fibrillation,Atrial Fibrillation,True
a fib,Atrial Fibrillation,Atrial fibrillation,True
CAD,Coronary Artery Disease,Coronary Artery Disease,True
CABG,Coronary Artery Bypass Graft,Coronary Artery Bypass Grafting,True
AVR,Aortic Valve Replacement,Aortic Valve Replacement,True
AS,Aortic Stenosis,Aortic Stenosis,True
MR,Mitral Valve,Magnetic Resonance,False
LVH,left ventricular hypertrophy,Left Ventricular Hypertrophy,True
EF,left ventricle,Ejection Fraction,False
metop succinate,Metoprolol Succinate,Metoprolol succinate,True
Metoprolol tartrate,Metoprolol Tartrate,Metoprolol Tartrate,True
NT-proBNP,NT-proBNP,N-terminal pro b-type natriuretic peptide,False
BNP,NT-proBNP,Brain Natriuretic Peptide,False
heart failure,Heart failure,Cardiac insufficiency,False
CHF,Congestive Heart Failure,Congestive Heart Failure,True
pulmonary edema,Pulmonary edema,PulmonarEdema,False
pleural effusions,Pleural Effusion,Pleural Effusion,True
Lasix,Furosemide,Furosemide,True
PE,Acute Pulmonary Embolism,Physical Examination,False
Type 2 DM,Diabetes Mellitus Type II,Diabetes mellitus type 2,False
DM2,Diabetes Mellitus Type II,Diabetes mellitus type 2,False
T1DM,Type 1 Diabetes Mellitus,Type 1 Diabetes Mellitus,True
DM,Diabetes Mellitus,Diabetes Mellitus,True
High blood sugar,High Blood Sugar,Hyperglycemia,False
blood glucose,Blood Glucose,Glycemia,False
metformin,Metformin,Dimethylbiguanide,False
Insulin,Insulin,INSULIN,True
Prediabetes,Prediabetes,Impaired Fasting Glucose (IFG),False
IGT,Impaired glucose tolerance,Impaired Glucose Tolerance,True
IFG,Impaired fasting glucose,Impaired Fasting Glucose,True
A1c,Elevated A1c,Hemoglobin A1c,False
Hypothyroidism,Hypothyroidism,E03.9,False
Synthroid,Levothyroxine sodium,Levothyroxine,False
CKD,Chronic Kidney Disease,Chronic Kidney Disease,True
ESRD,end-stage renal disease,End-Stage Renal Disease,True
HD,Dialysis,Hemodialysis,True
Hemodialysis,hemodialysis unit,HD,False
AKI,Acute Kidney Injury,Acute Kidney Injury,True
Creat,Creat,Creatinine,True
creatinine,Abnormal Creatinine,Creatinine,False
