query,target,pred,correct
CHF,Congestive Heart Failure,Congestive Heart Failure,True
high blood pressure,Hypertension,Hypertension,True
short of breath,Shortness of Breath,Dyspnea,False
dyspnea,Dyspnea,Difficulty breathing,False
breathless,Shortness of Breath,Dyspnea,False
Hypertensive,Hypertension,Hypertension,True
Lisinopril,Lisinopril,Lisinopril,True
HCTZ,Hydrochlorothiazide,Hydrochlorothiazide,True
Statin,Statin,HMG-CoA Reductase Inhibitor,False
Lipitor,Lipitor,Atorvastatin,False
Atorvastatin,Atorvastatin,Atorvastatin,True
ASA,Aspirin,Acetylsalicylic acid,False
aspirin,Aspirin,Aspirin,True
stroke,Stroke,Cerebrovascular Accident,False
AIS,Acute Ischemic Stroke,Acute Inflammatory Demyelinating Polyradiculoneuropathy,False
TIA,Transient Ischemic Attack,Transient Ischemic Attack,True
Afib,Atrial Fibrillation,Atrial Fibrillation,True
a fib,Atrial Fibrillation,Atrial Fibrillation,True
CAD,Coronary Artery Disease,Coronary Artery Disease,True
CABG,Coronary Artery Bypass Graft,Coronary Artery Bypass Grafting,True
AVR,Aortic Valve Replacement,Arteriovenous Malformation,False
AS,Aortic Stenosis,Aspirin,False
MR,Mitral Valve,Magnetic Resonance Imaging,False
LVH,left ventricular hypertrophy,left ventricular hypertrophy,True
EF,left ventricle,E2,False
metop succinate,Metoprolol Succinate,Metoprolol Succinate,True
Metoprolol tartrate,Metoprolol Tartrate,METOPROLOL TARTRATE,True
NT-proBNP,NT-proBNP,N-terminal pro b-type natriuretic peptide,False
BNP,NT-proBNP,Natriuretic Peptide B-Type,False
heart failure,Heart failure,Heart Failure,True
CHF,Congestive Heart Failure,Congestive Heart Failure,True
pulmonary edema,Pulmonary edema,Pulmonary Edema,True
pleural effusions,Pleural Effusion,Pleural Effusion,True
Lasix,Furosemide,Furosemide,True
PE,Acute Pulmonary Embolism,Pulmonary Embolism,False
Type 2 DM,Diabetes Mellitus Type II,Diabetes Mellitus Type II,True
DM2,Diabetes Mellitus Type II,Diabetes Mellitus Type II,True
T1DM,Type 1 Diabetes Mellitus,Type 1 diabetes mellitus,True
DM,Diabetes Mellitus,Diabetes Mellitus,True
High blood sugar,High Blood Sugar,Hyperglycemia,False
blood glucose,Blood Glucose,Blood Glucose,True
metformin,Metformin,Metformin,True
Insulin,Insulin,Insulin,True
Prediabetes,Prediabetes,Impaired Glucose Regulation,False
IGT,Impaired glucose tolerance,IgE,False
IFG,Impaired fasting glucose,Impaired Fasting Glucose,True
A1c,Elevated A1c,Hemoglobin A1c,False
Hypothyroidism,Hypothyroidism,Hypothyroidism,True
Synthroid,Levothyroxine sodium,Levothyroxine sodium,True
CKD,Chronic Kidney Disease,Chronic Kidney Disease,True
ESRD,end-stage renal disease,End Stage Renal Disease,False
HD,Dialysis,HDR,False
Hemodialysis,hemodialysis unit,hemodialysis,False
AKI,Acute Kidney Injury,Acute Kidney Injury,True
Creat,Creat,Serum Creatinine,True
creatinine,Abnormal Creatinine,Serum Creatinine,False
