start,end,found,path,explanation
Nicotine Gum,Lung Cancer,True,Nicotine Gum -> Smoking Cessation -> Lung Cancer,Nicotine Gum --[Used-For]--> Smoking Cessation | Smoking Cessation --[Treats]--> Lung Cancer
Aortic Stenosis,Pulmonary edema,False,No Path,
Alcoholic Hepatitis,Chronic Liver Disease,True,Alcoholic Hepatitis -> Chronic Liver Disease,Alcoholic Hepatitis --[Part-Of]--> Chronic Liver Disease
Warfarin,Anemia,True,Warfarin -> GI Bleed -> Anemia,Warfarin --[Causes]--> GI Bleed | GI Bleed --[Causes]--> Anemia
Klebsiella,Hematuria,True,Klebsiella -> Urinary Tract Infection -> Hematuria,Klebsiella --[Causes]--> Urinary Tract Infection | Urinary Tract Infection --[Associated-With]--> Hematuria
enlarged prostate,Urinary Retention,False,No Path,
Atrial Fibrillation,Facial Droop,False,No Path,
Smoking,Severe Headache,False,No Path,
High Cholesterol,Aspirin,False,No Path,
Atorvastatin,Acute Ischemic Stroke,True,Atorvastatin -> High Cholesterol -> Acute Ischemic Stroke,Atorvastatin --[Used-For]--> High Cholesterol | High Cholesterol --[Associated-With]--> Acute Ischemic Stroke
carotid stenosis,Antithrombotic Therapy,False,No Path,
Intensive Statin Therapy,Acute Ischemic Stroke,True,Intensive Statin Therapy -> High Cholesterol -> Acute Ischemic Stroke,Intensive Statin Therapy --[Treats]--> High Cholesterol | High Cholesterol --[Associated-With]--> Acute Ischemic Stroke
Metoprolol Succinate,Left Ventricle Dysfunction,True,Metoprolol Succinate -> Atrial Fibrillation -> Left Ventricle Dysfunction,Metoprolol Succinate --[Used-For]--> Atrial Fibrillation | Atrial Fibrillation --[Causes]--> Left Ventricle Dysfunction
Aortic Valve Replacement,Heart Failure,True,Aortic Valve Replacement -> Aortic Stenosis -> Heart Failure,Aortic Valve Replacement --[Treats]--> Aortic Stenosis | Aortic Stenosis --[Causes]--> Heart Failure
Coronary Artery Bypass Grafting,Atrial Fibrillation,True,Coronary Artery Bypass Grafting -> Coronary Artery Disease -> Atrial Fibrillation,Coronary Artery Bypass Grafting --[Treats]--> Coronary Artery Disease | Coronary Artery Disease --[Associated-With]--> Atrial Fibrillation
Lisinopril,Cardiovascular disease,True,Lisinopril -> Hypertension -> Cardiovascular disease,Lisinopril --[Treats]--> Hypertension | Hypertension --[Causes]--> Cardiovascular disease
Hydrochlorothiazide,Cardiovascular disease,True,Hydrochlorothiazide -> Hypertension -> Cardiovascular disease,Hydrochlorothiazide --[Treats]--> Hypertension | Hypertension --[Causes]--> Cardiovascular disease
